es,se,v,fse,fv
.020456145,.11252056,.012660877,.20936574,.043834016
.17888544,.22405356,.050199997,.20872003,.043564051
1.0190047,.29173341,.085108384,.21589528,.046610769
.074213214,.26354969,.06945844,.22617476,.051155023
1.073745,.36173123,.13084948,.26642919,.070984505
.20182534,.2808218,.078860886,.23598978,.055691179
1.3538835,.44375265,.19691642,.30080473,.090483487
.071428575,.15817665,.025019851,.26387575,.069630407
.066519015,.33342549,.11117256,.18138507,.032900542
.1243696,.15960227,.025472885,.18188323,.033081509
.74051857,.25842625,.066784129,.22112396,.048895806
-.099330992,.26277477,.06905058,.2272743,.051653609
.25453582,.26367411,.069524035,.2272743,.051653609
.36221325,.26475751,.070096545,.2272743,.051653609
.1334077,.21730672,.047222208,.20569278,.042309523
.24473876,.21787578,.047469854,.20569278,.042309523
.060086139,.21711461,.047138754,.20569278,.042309523
.16582218,.17798775,.031679641,.27487195,.075554579
.51745868,.1882387,.035433806,.27487195,.075554579
.07509385,.17702574,.031338111,.27487195,.075554579
.26270553,.17980085,.032328349,.27487195,.075554579
.62110627,.19307435,.037277702,.27487195,.075554579
.74387598,.19974013,.039896119,.27487195,.075554579
.17931269,.178192,.031752389,.27487195,.075554579
.42226687,.18448871,.034036085,.27487195,.075554579
.2675584,.17991263,.032368552,.27487195,.075554579
.095758229,.17718148,.031393278,.27487195,.075554579
.43644089,.18796365,.035330333,.27798289,.077274494
.38435534,.18612036,.034640789,.27798289,.077274494
.50828302,.19085342,.036425028,.27798289,.077274494
.170763,.31680357,.10036451,.25473726,.06489107
.52810037,.32169259,.10348612,.25473726,.06489107
.48883641,.23130012,.053499743,.21070115,.044394974
1.2554243,.42285281,.1788045,.43915051,.19285318
.626131,.34583521,.11960199,.43915051,.19285318
-.35990405,.18839368,.035492178,.28126335,.07910908
-.20940654,.18456486,.034064189,.28126335,.07910908
-.17309588,.35025162,.12267619,.27191707,.073938899
.47763222,.35451204,.12567878,.27191707,.073938899
.46650445,.35428745,.12551959,.27191707,.073938899
.43939176,.35376185,.12514745,.27191707,.073938899
.52570802,.36028942,.12980847,.27487195,.075554579
1.1032361,.38014188,.14450786,.27487195,.075554579
1.1127878,.38057664,.14483859,.27487195,.075554579
.94237614,.37331802,.13936634,.27487195,.075554579
.18083888,.35427529,.12551098,.27487195,.075554579
.075000003,.35367766,.12508789,.27487195,.075554579
-.045089092,.19621579,.038500637,.29640958,.087858632
.5262019,.20925181,.043786317,.29640958,.087858632
-.4927364,.19333862,.03737982,.28126335,.07910908
.24711454,.18534048,.034351092,.28126335,.07910908
-.05383708,.22376877,.050072461,.3279407,.10754511
.48239881,.23625773,.055817716,.3279407,.10754511
-.11674147,.27539581,.07584285,.23329972,.05442876
-.87235188,.43328473,.18773566,.30881819,.095368683
.18901668,.26129508,.068275116,.22617476,.051155023
-.1216005,.26095527,.068097658,.22617476,.051155023
.15718736,.35403836,.12534316,.26387575,.069630407
.12725699,.35387135,.12522493,.26387575,.069630407
-.22346616,.18960118,.035948608,.1935733,.03747062
1.1967518,.16912064,.02860179,.22510678,.05067306
.703592,.14419436,.020792015,.22510678,.05067306
.30983868,.13216151,.017466666,.22510678,.05067306
.85722029,.1509643,.022790221,.22510678,.05067306
1.3142323,.17623863,.031060053,.22510678,.05067306
.39181715,.1926906,.037129667,.28472826,.081070185
.23026222,.18814066,.035396907,.28472826,.081070185
-.15969799,.18687555,.034922473,.28472826,.081070185
-.49023569,.19653599,.038626395,.28472826,.081070185
.25254565,.18863298,.035582401,.28472826,.081070185
.37266731,.15035957,.022608001,.17808905,.03171571
.088643,.1491444,.022244051,.17808905,.03171571
.19725746,.14943328,.022330306,.17808905,.03171571
.15791661,.14930336,.022291495,.17808905,.03171571
-.22634715,.14954777,.022364536,.17808905,.03171571
.039924901,.21696708,.047074713,.20569278,.042309523
.7113654,.22849329,.052209184,.30549484,.093327098
.55678266,.21937443,.04812514,.30549484,.093327098
.68788689,.20711641,.042897206,.19867305,.039470986
.08126536,.20758386,.043091059,.20145187,.040582854
.16978279,.20787144,.043210533,.20145187,.040582854
.27327621,.20219925,.040884536,.19867305,.039470986
.25338587,.18246539,.03329362,.27798289,.077274494
.65911049,.19815384,.039264943,.27798289,.077274494
.20724675,.18452422,.034049191,.28126335,.07910908
.1386047,.18344896,.03365352,.28126335,.07910908
-.045660671,.1796989,.032291695,.27798289,.077274494
-.50440949,.19068758,.036361754,.27798289,.077274494
.074251115,.18282565,.033425219,.28126335,.07910908
-.11855231,.18321456,.033567574,.28126335,.07910908
.47591388,.14631677,.021408597,.23462275,.055047832
.16538198,.151783,.02303808,.24700896,.06101343
-.26835698,.14114965,.019923225,.23462275,.055047832
-.26361844,.15335248,.023516985,.24700896,.06101343
-.16244483,.23725212,.056288566,.34208739,.11702378
.42242104,.15915619,.025330693,.24882767,.061915204
1.2325182,.48782942,.23797753,.3279407,.10754511
.31222856,.44993019,.20243718,.3279407,.10754511
1.610685,.51464325,.26485768,.3279407,.10754511
-1.380537,.4976415,.24764706,.3279407,.10754511
.99666107,.4328523,.18736111,.30549484,.093327098
.4324778,.20124783,.040500689,.29228103,.085428201
1.2658722,.22063889,.048681516,.26143739,.068349503
.47263989,.20677879,.04275747,.29640958,.087858632
.30986351,.2007685,.040307991,.29640958,.087858632
.54890978,.28528112,.081385322,.23598978,.055691179
.37267798,.15035965,.022608023,.17808905,.03171571
.15950619,.14930806,.022292895,.17808905,.03171571
.0679534,.24086647,.058016654,.21671182,.046964012
.50520182,.2446072,.059832681,.21671182,.046964012
-.028829414,.17278266,.029853847,.21671182,.046964012
-.076241367,.11267217,.012695016,.20936574,.043834016
-.047245558,.18908766,.035754144,.28839448,.083171375
-.18257418,.18408935,.033888888,.28126335,.07910908
-.082478613,.18930337,.035835765,.28839448,.083171375
-.091287091,.18295415,.033472221,.28126335,.07910908
.041239306,.18906257,.035744652,.28839448,.083171375
.50207901,.1937388,.037534725,.28126335,.07910908
.43128347,.2357136,.055560902,.21092735,.044490345
.55261916,.3163304,.10006493,.25169298,.063349359
-.51225936,.31551087,.09954711,.25169298,.063349359
-.14873731,.21983185,.048326045,.20686516,.042793196
-.23255184,.32990745,.10883892,.26143739,.068349503
1.7383834,.31749937,.10080585,.23077728,.053258151
-.16733338,.15011109,.02253334,.24525851,.060151733
.57126296,.23718993,.056259066,.21282215,.045293268
.46479034,.2356135,.055513717,.21282215,.045293268
-.0676976,.10011451,.010022915,.19823886,.039298646
-.065739878,.097233474,.0094543481,.19578788,.038332894
-.06637346,.098166004,.0096365642,.19657679,.038642433
-.0676976,.10011451,.010022915,.19823886,.039298646
.18203956,.27572978,.076026909,.23329972,.05442876
.34439903,.27171603,.073829599,.23077728,.053258151
-.079875909,.26983204,.072809331,.23077728,.053258151
.2976855,.2712138,.073556922,.23077728,.053258151
-.12396619,.27542561,.075859271,.23329972,.05442876
.22086939,.27599728,.076174498,.23329972,.05442876
-.043362021,.27758804,.077055119,.23462275,.055047832
-.090650991,.27769777,.07711605,.23462275,.055047832
-.74161983,.32691741,.10687499,.25473726,.06489107
.71974397,.15711965,.024686584,.23598978,.055691179
.35007003,.1442543,.020809302,.23598978,.055691179
.58951789,.15170699,.023015011,.23598978,.055691179
.67633528,.15521741,.024092443,.23598978,.055691179
.34133688,.19087616,.036433708,.18777956,.035261165
.59127545,.13992876,.019580057,.22510678,.05067306
.44152009,.13524485,.018291168,.22510678,.05067306
-.056093194,.173023,.029936958,.18708558,.035001017
-.020752339,.17299363,.029926796,.18708558,.035001017
1.3204271,.12850857,.016514452,.16739364,.028020632
.19514325,.11672132,.013623866,.16739364,.028020632
.69713122,.13520116,.018279353,.21754918,.047327641
.22030184,.12273036,.015062741,.21754918,.047327641
.08654625,.16982698,.028841205,.18577293,.034511577
.093809709,.18028514,.032502733,.18943687,.035886325
-.012281068,.18650977,.034785897,.19254407,.037073217
.086728305,.19911072,.039645076,.19781233,.039129719
-.071817681,.18496642,.034212574,.19188437,.036819611
-.036512364,.20630144,.042560283,.20096688,.040387686
.14521036,.20128253,.040514659,.19867305,.039470986
-.13959298,.20024343,.04009743,.19823886,.039298646
.011081846,.19901872,.039608449,.19781233,.039129719
.22924997,.1791175,.032083079,.18915072,.035777997
-.17086375,.19116612,.036544483,.19428739,.037747592
-.29632157,.21978815,.04830683,.20456804,.041848086
-.075555936,.18266466,.033366378,.19093205,.036455046
.017208373,.18901587,.035726998,.1935733,.03747062
.12585628,.17558517,.03083015,.18804614,.035361353
-.14002733,.19105211,.036500908,.19428739,.037747592
.25071126,.19373275,.037532378,.19502519,.038034823
-.032589506,.24101557,.058088504,.18700156,.034969579
.61610317,.28121087,.079079553,.23329972,.05442876
.16204935,.28353271,.080390796,.23740315,.05636026
.46396461,.17072845,.029148202,.25910619,.067136019
.43558791,.16974194,.028812326,.25910619,.067136019
.39436826,.16841078,.02836219,.25910619,.067136019
.13422775,.19699751,.038808018,.29640958,.087858632
.54912519,.21038145,.044260353,.29640958,.087858632
1.4098175,.1921512,.036922086,.23201858,.053832617
.28985628,.13891166,.019296451,.23201858,.053832617
1.1771159,.17705414,.031348169,.23201858,.053832617
1.2124975,.17925127,.032131016,.23201858,.053832617
.85013974,.37508574,.14068931,.25268701,.063850723
.57981789,.30808705,.094917633,.24700896,.06101343
.28770897,.30337757,.092037946,.24700896,.06101343
.20893671,.21551496,.046446696,.31589529,.099789828
-.64430588,.36328584,.1319766,.27487195,.075554579
.055203117,.34162876,.11671021,.26642919,.070984505
-.38217878,.33286232,.11079732,.26143739,.068349503
.086238392,.31249267,.097651668,.25268701,.063850723
-.38701525,.31525794,.099387564,.25268701,.063850723
.79911953,.32457462,.10534868,.25268701,.063850723
-.3363533,.31454834,.098940663,.25268701,.063850723
.98283243,.33066747,.10934097,.25268701,.063850723
-.6722275,.32104802,.10307183,.25268701,.063850723
.99192441,.40144694,.16115965,.28839448,.083171375
.87453115,.39654377,.15724696,.28839448,.083171375
.26349795,.36095226,.13028653,.27798289,.077274494
-.18762089,.36595085,.13392003,.28126335,.07910908
.097123526,.24278349,.058943823,.21754918,.047327641
.053388987,.24268378,.05889542,.21754918,.047327641
-.15121523,.24298681,.059042592,.21754918,.047327641
-.10505819,.17197116,.029574079,.26910639,.07241825
-.2759577,.1925465,.037074156,.28839448,.083171375
.1363167,.18985814,.036046114,.28839448,.083171375
-.26033849,.19215769,.036924575,.28839448,.083171375
-.15623677,.19013201,.03615018,.28839448,.083171375
-.39496836,.16416456,.026950002,.25473726,.06489107
.80036753,.27868327,.077664368,.35014206,.12259947
.41260752,.38196495,.14589722,.28839448,.083171375
.62109596,.29190019,.085205719,.37961259,.14410572
.51514363,.38418218,.14759596,.28839448,.083171375
.12527835,.26830783,.071989097,.37961259,.14410572
.68676335,.38894647,.15127936,.28839448,.083171375
.41636544,.27860367,.077620007,.37961259,.14410572
.34756055,.38080737,.14501426,.28839448,.083171375
.1369178,.26851088,.072098091,.37961259,.14410572
.7349717,.38393846,.14740874,.28472826,.081070185
.63049507,.28269678,.079917468,.36875618,.13598113
.40115759,.37532634,.14086986,.28472826,.081070185
0,.25819889,.066666663,.36875618,.13598113
.079745658,.37175918,.13820489,.28472826,.081070185
-.25336254,.26230979,.068806425,.36875618,.13598113
.034736156,.37163967,.13811605,.28472826,.081070185
-.060178515,.25843254,.066787377,.36875618,.13598113
-.08224009,.12147269,.014755613,.21754918,.047327641
-.1025304,.40851644,.16688567,.30549484,.093327098
-.83497328,.32177299,.10353786,.2507188,.062859923
.51275402,.15353191,.023572046,.24037901,.057782065
.10002083,.10231701,.010468771,.20002386,.040009547
.32149553,.10466612,.010954997,.20002386,.040009547
.055055857,.12813386,.016418288,.22406894,.050206892
.30984926,.13107395,.017180381,.22406894,.050206892
.34185848,.1317246,.017351368,.22406894,.050206892
.91324836,.26617768,.070850559,.3279407,.10754511
.041767996,.47564313,.22623639,.33471632,.11203501
.90661615,.52505809,.275686,.35898763,.12887213
.48614609,.12549447,.01574886,.21509875,.046267476
1.8917844,.32142183,.10331199,.29228103,.085428201
1.1393045,.24713224,.061074346,.29228103,.085428201
-.15980867,.23607819,.05573291,.21432154,.04593372
-2.1596932,.33327353,.11107124,.28126335,.07910908
-2.0713918,.32379687,.10484441,.28126335,.07910908
4.731595,.63754725,.40646651,.28126335,.07910908
1.6717181,.2826848,.079910696,.28126335,.07910908
2.4843838,.36905652,.13620272,.28126335,.07910908
-.2504532,.18541515,.034378778,.28126335,.07910908
-.57304502,.22024515,.048507929,.30549484,.093327098
-.13988756,.20512031,.042074341,.30549484,.093327098
-.13422775,.19699751,.038808018,.29640958,.087858632
.34908673,.20200256,.040805031,.29640958,.087858632
.2501851,.19543837,.038196158,.29228103,.085428201
-.20838133,.30701604,.094258852,.24944352,.062222071
-.20838133,.30701604,.094258852,.24944352,.062222071
-.20838133,.30701604,.094258852,.24944352,.062222071
-.20838133,.30701604,.094258852,.24944352,.062222071
.27496555,.12539652,.015724286,.21928969,.048087966
.37595651,.1264127,.015980171,.21840817,.04770213
-.25202477,.37057525,.13732602,.27191707,.073938899
.39436671,.27507278,.075665034,.22406894,.050206892
1.1138736,.49751294,.24751912,.33707896,.11362222
.30389979,.44426852,.19737452,.32475284,.10546441
.30389979,.44426852,.19737452,.32475284,.10546441
.30389979,.44426852,.19737452,.32475284,.10546441
.30389979,.44426852,.19737452,.32475284,.10546441
.16371435,.24180828,.058471244,.21671182,.046964012
.09894602,.28301573,.080097899,.23740315,.05636026
-.049074773,.14442444,.020858418,.24037901,.057782065
-.35362703,.14878158,.02213596,.24037901,.057782065
.49447861,.15970531,.025505787,.24700896,.06101343
.31357181,.15441705,.023844626,.24700896,.06101343
-.057914052,.19308729,.037282702,.19527785,.038133439
-.21669453,.19361256,.037485823,.19527785,.038133439
-.057914052,.19308729,.037282702,.19527785,.038133439
-.21669453,.19361256,.037485823,.19527785,.038133439
.34402364,.181932,.033099253,.27487195,.075554579
.17424999,.12594527,.015862212,.22112396,.048895806
.36465886,.18255889,.033327751,.27487195,.075554579
.84922576,.32612252,.1063559,.27798289,.077274494
.11359401,.16720346,.027956996,.26387575,.069630407
-.037028573,.099048689,.0098106423,.19739328,.038964108
.033328798,.099042244,.0098093664,.19739328,.038964108
0,.099014752,.009803921,.19739328,.038964108
-.0048801391,.099015348,.0098040393,.19739328,.038964108
.53744411,.20980056,.044016272,.29640958,.087858632
-.2377204,.3495422,.12217975,.27191707,.073938899
